ts,open,high,low,close,vol
1736344800,95384.01,95685.18,95202.77,95439.08,636.56238
1736346600,95439.07,95865.71,94888.88,95288.01,1494.96461
1736348400,95288.0,96079.32,94710.0,94797.37,1781.63338
1736350200,94797.38,95523.02,94624.43,95493.77,1284.80339
1736352000,95493.77,95555.25,94852.94,94886.24,724.16957
1736353800,94886.23,95149.61,94556.21,94787.87,821.01631
1736355600,94787.87,94847.99,92899.02,93016.38,2985.42755
1736357400,93016.38,94132.94,92500.9,94030.82,2310.57381
1736359200,94030.81,95106.33,93977.0,94921.4,1243.78532
1736361000,94921.4,94933.04,93753.99,94242.61,847.13912
1736362800,94242.62,94859.54,94059.33,94752.0,806.99858
1736364600,94752.0,94752.0,94053.82,94243.89,524.27256
1736366400,94243.89,94404.0,93755.48,94012.5,607.95094
1736368200,94012.49,94277.38,93868.92,93980.0,442.47617
1736370000,93982.01,94317.04,93600.0,94180.46,485.78164
1736371800,94180.46,94596.0,94107.8,94468.97,467.82606
1736373600,94468.97,94939.4,94460.86,94785.75,369.61562
1736375400,94785.75,95290.99,94723.68,95290.93,374.03184
1736377200,95290.93,95310.94,94950.0,95028.47,307.94653
1736379000,95028.47,95239.99,94900.0,95060.61,269.36658
1736380800,95060.61,95077.09,94809.07,94880.0,242.04061
1736382600,94880.0,95150.0,94823.52,95135.3,310.12158
1736384400,95135.3,95382.32,94973.78,95261.84,344.20049
1736386200,95261.83,95261.84,94966.66,94983.82,252.56129
1736388000,94983.82,95030.31,93422.89,94484.36,2588.41838
1736389800,94484.36,94878.52,94263.15,94776.99,630.79837
1736391600,94777.0,94800.69,94256.44,94356.5,703.32603
1736393400,94356.5,94366.99,94017.93,94027.9,348.21833
1736395200,94027.91,94198.36,93796.99,94170.93,429.97156
1736397000,94170.93,94487.74,94129.99,94424.24,256.17649
1736398800,94424.24,94537.98,94280.65,94492.01,203.97826
1736400600,94492.01,94566.64,94371.06,94472.58,143.95538
1736402400,94472.59,94618.63,94277.16,94393.13,271.29657
1736404200,94393.14,94438.94,94048.07,94095.03,244.34564
1736406000,94095.04,94299.22,93741.26,93741.26,407.77108
1736407800,93741.26,93800.0,93186.38,93221.59,866.82516
1736409600,93221.59,93312.44,92800.0,92990.0,1060.27223
1736411400,92990.01,93400.98,92750.0,93030.87,836.91663
1736413200,93030.88,93597.3,92970.96,93490.7,520.85498
1736415000,93490.69,93787.75,93432.5,93516.62,491.24827
1736416800,93516.63,93660.0,93202.6,93300.76,435.56417
1736418600,93300.76,93470.0,93016.55,93462.43,522.73444
1736420400,93462.43,93877.46,93312.52,93720.01,344.21667
1736422200,93720.01,93764.83,93224.0,93465.23,362.57923
1736424000,93465.23,93696.97,93284.45,93620.0,316.72417
1736425800,93620.01,93679.58,93155.25,93421.94,393.65751
1736427600,93421.94,93486.19,92684.02,92872.01,821.21729
1736429400,92872.02,92918.83,91900.12,91986.42,2653.21831
1736431200,91986.41,92741.15,91800.0,92440.96,1499.40707
1736433000,92440.95,92900.0,92099.47,92863.8,863.65261
1736434800,92863.81,93556.59,92671.67,93540.53,975.4351
1736436600,93540.52,94588.23,93452.0,94244.02,1585.03857
1736438400,94244.02,94685.25,93905.18,94027.11,1004.38885
1736440200,94027.1,94399.99,93846.15,94250.95,592.67884
1736442000,94250.96,94293.96,93649.41,93802.25,494.95232
1736443800,93802.25,93842.39,92325.0,92693.11,1433.02892
1736445600,92693.11,92939.32,92403.77,92756.01,882.27608
1736447400,92756.01,93239.51,92615.38,93020.11,558.14169
1736449200,93020.1,93291.96,92752.38,92842.5,403.56472
1736451000,92842.5,93035.4,91900.01,91909.59,1255.63256
1736452800,91909.59,92371.32,91203.67,91291.69,2026.0501
1736454600,91291.69,92200.0,91220.5,91903.22,922.04961
1736456400,91903.21,92497.66,91781.09,92277.94,701.68719
1736458200,92277.93,92350.0,91921.28,92108.84,412.11335
1736460000,92108.84,92287.63,91624.0,92185.92,590.36474
1736461800,92186.66,92720.67,92186.66,92456.32,536.517
1736463600,92456.32,92689.38,92185.49,92227.36,428.72355
1736465400,92227.36,92562.47,92034.55,92552.49,375.92486
1736467200,92552.49,92766.64,92431.73,92567.0,520.16348
1736469000,92567.01,92850.0,92457.65,92775.84,245.44314
1736470800,92775.85,92916.66,92590.33,92789.78,303.98427
1736472600,92789.78,93159.16,92763.55,93102.52,342.52047
1736474400,93102.52,93548.76,93033.5,93515.41,352.68881
1736476200,93515.41,93726.87,93252.6,93364.36,557.36915
1736478000,93364.36,93588.0,93312.58,93554.99,300.86377
1736479800,93555.0,93727.83,93429.68,93696.13,305.00757
1736481600,93696.13,93908.85,93529.59,93567.69,320.87693
1736483400,93567.7,93845.83,93500.0,93837.69,218.86256
1736485200,93837.69,93895.62,93642.85,93808.0,281.4501
1736487000,93808.0,94250.07,93808.0,93956.83,522.20223
1736488800,93956.83,94141.91,93880.65,93946.06,380.80568
1736490600,93946.06,94319.0,93733.83,94252.83,503.01976
1736492400,94252.83,94366.49,94070.0,94356.71,261.85986
1736494200,94356.72,95000.0,94272.0,94492.63,1113.20666
1736496000,94492.62,94766.12,94388.5,94692.73,396.75721
1736497800,94692.73,94735.96,94468.76,94680.01,390.16923
1736499600,94680.0,94958.64,94582.03,94941.24,336.13575
1736501400,94941.24,95000.55,94771.45,94793.08,414.58732
1736503200,94793.07,94981.53,94781.25,94788.99,254.30361
1736505000,94788.99,95293.4,94757.57,95215.73,345.03322
1736506800,95215.73,95267.16,94802.34,94804.45,324.38104
1736508600,94803.89,95083.46,94600.49,95073.95,385.19995
1736510400,95073.95,95117.26,94737.19,94776.87,373.10314
1736512200,94776.87,95063.67,94702.49,95023.44,212.57875
1736514000,95023.44,95046.0,94733.49,94818.18,300.06863
1736515800,94818.18,94834.77,92715.85,93557.23,4136.53868
1736517600,93557.23,94680.76,93379.93,94409.6,1285.52447
1736519400,94409.59,94568.0,93570.0,94115.63,1752.06263
1736521200,94115.62,94115.62,92206.02,93269.55,2546.98658
1736523000,93269.55,94524.0,93035.04,93730.92,1401.24613
1736524800,93730.93,94014.21,93344.7,93424.25,1098.83801
1736526600,93424.25,94062.94,93177.4,93645.05,1068.10409
1736528400,93645.06,94363.64,93318.07,94363.64,886.91659
1736530200,94363.63,95836.0,94045.45,95793.05,1728.7688
1736532000,95793.04,95793.04,94832.0,94962.27,1264.01534
1736533800,94962.28,95135.5,94581.87,94861.62,725.45431
1736535600,94861.62,95188.06,94373.85,94984.52,641.42476
1736537400,94984.52,95386.74,94942.75,95327.06,547.06949
1736539200,95327.07,95442.15,94790.97,94925.58,490.33651
1736541000,94924.84,94985.63,94586.02,94672.05,560.40549
1736542800,94669.06,94917.6,94603.72,94872.0,276.21406
1736544600,94871.99,94923.05,94613.25,94613.26,167.54742
1736546400,94613.26,94818.19,94586.03,94803.53,158.24729
1736548200,94803.54,94955.54,94600.13,94767.7,184.47543
1736550000,94767.69,94894.81,94657.39,94876.21,157.45811
1736551800,94876.21,94890.12,94695.86,94726.11,142.58776
1736553600,94726.1,94746.37,94360.65,94496.8,231.88996
1736555400,94496.81,94616.0,94379.19,94600.69,128.27337
1736557200,94600.7,94696.97,94516.26,94526.42,136.06097
1736559000,94526.43,94575.76,94214.38,94424.26,199.73028
1736560800,94424.26,94495.9,94212.0,94275.48,174.02699
1736562600,94275.47,94483.18,94180.0,94424.24,130.37958
1736564400,94424.24,94429.84,94106.49,94161.94,156.7938
1736566200,94161.95,94272.73,94126.35,94206.95,118.67876
1736568000,94206.96,94316.09,94071.21,94071.21,133.18473
1736569800,94071.22,94097.4,93831.73,94063.29,276.21985
1736571600,94063.29,94212.1,94013.51,94189.66,114.40787
1736573400,94189.65,94381.08,94151.51,94366.69,120.73318
1736575200,94366.7,94441.87,94322.4,94406.52,80.62905
1736577000,94406.52,94419.5,94216.25,94216.25,69.97234
1736578800,94216.26,94333.34,94169.74,94187.88,97.97204
1736580600,94187.87,94275.02,94151.51,94246.36,96.4406
1736582400,94246.36,94408.34,94202.0,94357.86,91.52141
1736584200,94357.86,94361.94,94031.22,94074.79,135.40357
1736586000,94074.8,94231.57,94044.82,94231.56,88.92816
1736587800,94231.57,94329.8,94217.68,94329.45,108.72498
1736589600,94329.46,94415.99,94320.05,94362.35,120.08037
1736591400,94362.35,94528.27,94300.01,94488.86,151.25689
1736593200,94488.87,94660.97,94455.04,94597.02,165.49527
1736595000,94597.03,94791.67,94580.51,94625.65,148.28074
1736596800,94625.66,94655.2,94528.01,94601.26,101.67334
1736598600,94601.26,94631.06,94545.21,94550.01,92.97677
1736600400,94550.0,94606.11,94364.93,94451.02,140.50266
1736602200,94451.02,94475.39,94342.63,94400.01,92.9412
1736604000,94400.01,94460.44,94307.25,94389.25,96.45533
1736605800,94389.26,94638.44,94389.25,94620.0,182.12542
1736607600,94620.0,94647.05,94410.25,94451.9,107.68474
1736609400,94451.89,94487.41,94377.57,94410.26,77.42015
1736611200,94410.26,94499.12,94312.56,94432.54,123.91825
1736613000,94432.54,94708.12,94432.53,94448.14,154.55139
1736614800,94448.14,94448.14,93984.55,94112.85,324.83804
1736616600,94112.85,94243.9,94048.96,94151.52,97.17261
1736618400,94151.51,94306.62,94121.0,94289.09,102.04038
1736620200,94289.08,94298.95,94159.99,94275.79,69.46548
1736622000,94275.79,94327.4,94198.25,94246.6,55.90659
1736623800,94246.6,94257.22,94084.64,94249.26,88.45654
1736625600,94249.27,94483.04,94200.89,94483.04,96.33268
1736627400,94483.04,94668.31,94381.92,94586.11,185.76723
1736629200,94586.12,94877.99,94575.75,94808.93,345.72959
1736631000,94808.93,95050.94,94658.18,94940.76,472.32804
1736632800,94940.75,95005.0,94724.05,94724.06,320.31149
1736634600,94724.06,94799.4,94561.0,94593.8,212.3844
1736636400,94593.8,94705.0,94567.41,94677.45,107.82722
1736638200,94677.45,94753.37,94541.66,94599.99,124.01
1736640000,94599.99,94655.22,94500.56,94516.58,151.56299
1736641800,94516.57,94575.76,94422.13,94452.07,169.19285
1736643600,94452.08,94485.26,94296.99,94350.17,149.7023
1736645400,94350.18,94589.46,94350.17,94580.0,150.97065
1736647200,94580.0,94584.79,94480.58,94545.45,75.10246
1736649000,94545.45,94670.0,94510.49,94625.25,77.0495
1736650800,94625.25,94699.0,94432.65,94453.67,107.30049
1736652600,94453.67,94622.4,94418.56,94622.4,103.60415
1736654400,94622.4,94650.0,94575.75,94632.42,64.37659
1736656200,94632.43,94641.11,94500.0,94587.99,67.89607
1736658000,94587.99,94627.8,94550.0,94592.54,42.31138
1736659800,94592.54,94600.42,94500.0,94571.43,50.22739
1736661600,94571.43,94616.0,94472.0,94488.73,90.10454
1736663400,94488.74,94521.49,94357.14,94381.78,73.39928
1736665200,94381.78,94441.42,94274.01,94392.2,98.41158
1736667000,94392.2,94439.94,94290.66,94323.85,68.44993
1736668800,94323.85,94393.57,94323.84,94342.44,55.59298
1736670600,94342.43,94342.44,94109.0,94170.01,200.31766
1736672400,94170.01,94222.41,94000.0,94000.01,249.65035
1736674200,94000.01,94029.43,93711.19,93906.22,292.0717
1736676000,93906.21,94056.04,93842.07,93935.63,287.63394
1736677800,93935.63,94040.14,93836.51,94015.16,150.50655
1736679600,94015.17,94325.03,94015.16,94285.96,188.84701
1736681400,94285.95,94348.64,94255.1,94255.1,117.70069
1736683200,94255.1,94600.0,94173.48,94442.03,277.16765
